,aid,Authors,Title,Pub_year,Concept_mod,Graphical,Robust,Response
155,161,"Fabricius, C.; Collins, S.",Community-based natural resource management: Governing the commons,2007,1,1,0,Graphical non-robust
169,175,"Fu, B. J.; Wang, K. L.; Lu, Y. H.; Liu, S. L.; Ma, K. M.; Chen, L. D.; Liu, G. H.","Entangling the complexity of protected area management: The case of Wolong Biosphere Reserve, southwestern China",2004,1,1,0,Graphical non-robust
827,884,"Gjertsen, H.",Can Habitat Protection Lead to Improvements in Human Well-Being? Evidence from Marine Protected Areas in the Philippines,2005,1,1,0,Graphical non-robust
828,886,"Glew, L., Hudson, M.D., and Osborne, P.E.",Evaluating the Effectiveness of Community-Based Conservation in Northern Kenya,2010,1,1,0,Graphical non-robust
211,222,"Gruby, R. L.; Basurto, X.",Multi-level governance for large marine commons: Politics and polycentricity in Palau's protected area network,2013,1,1,0,Graphical non-robust
234,245,"Haglund, E.; Ndjeunga, J.; Snook, L.; Pasternak, D.",Dry land tree management for improved household livelihoods: Farmer managed natural regeneration in Niger,2011,1,1,0,Graphical non-robust
236,247,"Hajjar, R. F.; Kozak, R. A.; Innes, J. L.","Is decentralization leading to ""real"" decision-making power for forest-dependent communities? Case studies from mexico and Brazil",2012,1,1,0,Graphical non-robust
240,251,"Hansen, M.","New geographies of conservation and globalisation: the spatiality of development for conservation in the iSimangaliso Wetland Park, South Africa",2013,1,1,0,Graphical non-robust
834,894,"Hayes, T. and Persha, L.",Nesting local forestry initiatives: Revisiting community forest management in a REDD+ world,2010,1,1,0,Graphical non-robust
837,897,"Himoonde, T.","Opportunities and Constraints of Local Participation in Ecotourism : A Case Study of Kasanka National Park (KNP), Zambia",2007,1,1,0,Graphical non-robust
310,321,"Ijang, T. P.; Cleto, N.","Dependency on natural resources: Post-conflict challenges for livelihoods security and environmental sustainability in Goma, The Democratic Republic of Congo",2013,1,1,0,Graphical non-robust
328,339,"Jhamvar-Shingote, R.; Schuett, M. A.","The Predators of Junnar: Local Peoples' Knowledge, Beliefs, and Attitudes Toward Leopards and Leopard Conservation",2013,1,1,0,Graphical non-robust
343,356,"Kalikoski, D. C.; Neto, P. Q.; Almudi, T.","Building adaptive capacity to climate variability: The case of artisanal fisheries in the estuary of the Patos Lagoon, Brazil",2010,1,1,0,Graphical non-robust
353,367,"Kari, F.; Al-Amin, A. Q.; Mohd satar, N. H.; Azam, M. N.","Growth, equity and vulnerability in marine park areas: In search of economic-environmental balance",2011,1,1,0,Graphical non-robust
354,368,"Kari, S.; Korhonen-Kurki, K.","Framing local outcomes of biodiversity conservation through ecosystem services: A case study from Ranomafana, Madagascar",2013,1,1,0,Graphical non-robust
383,398,"Kisekka-Ntale, F.",Carnage In Paradise: Law and Decision-Making Rights In Protected Area Management In Western Kenya,2009,1,1,0,Graphical non-robust
847,910,"Lambini, C. K. and Nguyen, T. T.",A comparative analysis of the effects of institutional property rights on forest livelihoods and forest conditions: Evidence from Ghana and Vietnam,2014,1,1,0,Graphical non-robust
404,419,"Le, H. D.; Smith, C.; Herbohn, J.",What drives the success of reforestation projects in tropical developing countries? The case of the Philippines,2013,1,1,0,Graphical non-robust
406,421,"Lee, T. M.; Sodhi, N. S.; Prawiradilaga, D. M.",Determinants of local people's attitude toward conservation and the consequential effects on illegal resource harvesting in the protected areas of Sulawesi (Indonesia),2009,1,1,0,Graphical non-robust
853,916,"Liang, Y.; Li, S.; Feldman, M. W.; Daily, G. C.",Does household composition matter? The impact of the Grain for Green Program on rural livelihoods in China,2012,1,1,0,Graphical non-robust
854,917,"Liu, W.",Patterns and impacts of tourism development in a coupled human and natural system,2008,1,1,0,Graphical non-robust
426,441,"Luo, Y.; Deng, J.",The new environmental paradigm and nature-based tourism motivation,2008,1,1,0,Graphical non-robust
861,924,"Mahdi, ; Shivakoti, G.; Schmidt-Vogt, D.","Livelihood Change and Livelihood Sustainability in the Uplands of Lembang Subwatershed, West Sumatra, Indonesia, in a Changing Natural Resource Management Context",2009,1,1,0,Graphical non-robust
450,465,"Marfo, E.",Institutionalizing citizen participation and community representation in natural resource management: Lessons from the social responsibility agreement negotiation in Ghana,2008,1,1,0,Graphical non-robust
452,467,"Marschke, M.; Armitage, D.; le van, An; van Tuyen, T.; Mallee, H.",Do collective property rights make sense? insights from central Vietnam,2012,1,1,0,Graphical non-robust
481,497,"McCusker, B.; Oberhauser, A. M.",An assessment of women’és access to natural resources through communal projects in South Africa,2006,1,1,0,Graphical non-robust
526,542,"Mosimane, A. W.; McCool, S.; Brown, P.; Ingrebretson, J.",Using mental models in the analysis of human-wildlife conflict from the perspective of a social-ecological system in Namibia,2014,1,1,0,Graphical non-robust
532,548,"Mukadasi, B.; Kaboggoza, J. R.; Nabalegwa, M.","Agroforestry practices in the buffer zone area of Mt Elgon National Park, eastern Uganda",2007,1,1,0,Graphical non-robust
874,937,"Mustalahti, I.; Nathan, I.","Constructing and sustaining participatory forest management: Lessons from Tanzania, Mozambique, Laos and Vietnam",2009,1,1,0,Graphical non-robust
890,952,"Nguyen, T.N.",Role of social capital in natural resource conservation: A case study of Cat Tien National Park in Vietnam,2007,1,1,0,Graphical non-robust
893,955,"Njana, M. A.; Kajembe, G. C.; Malimbwi, R. E.","Are miombo woodlands vital to livelihoods of rural households? Evidence from Urumwa and surrounding communities, Tabora, Tanzania",2013,1,1,0,Graphical non-robust
894,956,"Nkemnyi, M. F.; de Haas, A.; Etiendem, N. D.; Ndobegang, F.","Making hard choices: Balancing indigenous communities livelihood and Cross River gorilla conservation in the Lebialem-Mone Forest landscape, Cameroon",2013,1,1,0,Graphical non-robust
581,598,"Ogra, M. V.","Human-wildlife conflict and gender in protected area borderlands: A case study of costs, perceptions, and vulnerabilities from Uttarakhand (Uttaranchal), India",2008,1,1,0,Graphical non-robust
587,604,"Ormsby, A.; Kaplin, B. A.","A framework for understanding community resident perceptions of Masoala National Park, Madagascar",2005,1,1,0,Graphical non-robust
607,624,"Quaedvlieg, J.; Garc’éa Roca, I. M.; Ros-Tonen, M. A. F.",Is Amazon nut certification a solution for increased smallholder empowerment in peruvian amazonia?,2014,1,1,0,Graphical non-robust
1020,1083,"Ramaharitra, T.T.",Human dimension of conservation planning: the case of Madagascar at national and regional scales,2012,1,1,0,Graphical non-robust
923,986,"Rishi, P.; Moghe, S.; Upadhyay, B. K.",Eco-development planning through psychological analysis: A study of perceptions and motivations,2007,1,1,0,Graphical non-robust
630,647,"Roy, A. K. D.; Alam, K.; Gow, J.",Community perceptions of state forest ownership and management: A case study of the Sundarbans Mangrove Forest in Bangladesh,2013,1,1,0,Graphical non-robust
927,990,"Saayman, M and Saayman, A",Regional development and national parks in South Africa: Lessons learned,2010,1,1,0,Graphical non-robust
635,652,"Salum, L. A.","Ecotourism and biodiversity conservation in Jozani-Chwaka Bay National Park, Zanzibar",2009,1,1,0,Graphical non-robust
936,998,"Satia, B. P.; Njifonjou, O.; Angaman, K.",Fisheries co-management and poverty alleviation in the context of the sustainable livelihood approach: A case study in the fishing communities of Aby Lagoon in Cote D'Ivoire,2006,1,1,0,Graphical non-robust
654,671,"Sifuna, N.","Wildlife damage and its impact on public attitudes towards conservation: A comparative study of Kenya and Botswana, with particular reference to Kenya's Laikipia Region and Botswana's Okavango Delta Region",2010,1,1,0,Graphical non-robust
655,672,"Sikor, T.; Nguyen, T. Q.",Why May Forest Devolution Not Benefit the Rural Poor? Forest Entitlements in Vietnam's Central Highlands,2007,1,1,0,Graphical non-robust
951,1013,"Solomon, J.; Jacobson, S. K.; Liu, I.",Fishing for a solution: Can collaborative resource management reduce poverty and support conservation?,2012,1,1,0,Graphical non-robust
957,1019,"Stone, M and Wall, G","Ecotourism and community development: case studies from Hainan, China",2004,1,1,0,Graphical non-robust
958,1020,"Stone, M.T.","Protected Areas, Tourism and Rural Community Livelihoods in Botswana",2003,1,1,0,Graphical non-robust
685,702,"Tesfaye, Y.; Roos, A.; Bohlin, F.","Attitudes of local people towards collective actionfor forest management: the case of participatory forest management in Dodola area in the Bale Mountains, Southern Ethiopia",2012,1,1,0,Graphical non-robust
686,703,"Tesfaye, Y.; Roos, A.; Campbell, B. J.; Bohlin, F.","Factors Associated with the Performance of User Groups in a Participatory Forest Management around Dodola Forest in the Bale Mountains, Southern Ethiopia",2012,1,1,0,Graphical non-robust
971,1032,"Thakadu, O. T.; Irani, T. A.; Telg, R.","Predictors of Knowledge-Sharing Behaviors Among Community-Based Natural Resources Organizations in the Okavango Delta, Botswana",2013,1,1,0,Graphical non-robust
691,709,"Tieguhong, J. C.; Nkamgnia, E. M.","Household dependence on forests around Lobeke National Park, Cameroon",2012,1,1,0,Graphical non-robust
695,713,"Toillier, A.; Serpanti_, G.; Herv_, D.; Lardon, S.",Livelihood strategies and land use changes in response to conservation: Pitfalls of community-based forest management in madagascar,2011,1,1,0,Graphical non-robust
1022,1085,"Torell, E; Redding, C.A.; Blaney, C.L.; Hernandez, E.; Sison, O.; Dyegula, J.; Robadue Jr., D.D. ","Population, health, and environment situational analysis for the Saadani National Park Area, Tanzania",2012,1,1,0,Graphical non-robust
703,721,"Uma Shaanker, R.; Ganeshaiah, K. N.; Krishnan, S.; Ramya, R.; Meera, C.; Aravind, N. A.; Kumar, A.; Rao, D.; Vanaraj, G.; Ramachandra, J.; Gauthier, R.; Ghazoul, J.; Poole, N.; Chinnappa Reddy, B. V.","Livelihood gains and ecological costs of non-timber forest product dependence: Assessing the roles of dependence, ecological knowledge and market structure in three contrasting human and ecological settings in south India",2004,1,1,0,Graphical non-robust
976,1037,"Utting-Chamorro, Karla",Does fair trade make a difference? The case of small coffee producers in Nicaragua,2005,1,1,0,Graphical non-robust
705,723,"van Vliet, N.",Participatory vulnerability assessment in the context of conservation and development projects: A case study of local communities in Southwest Cameroon,2010,1,1,0,Graphical non-robust
979,1040,"Vedeld, P.; Jumane, A.; Wapalila, G.; Songorwa, A.","Protected areas, poverty and conflicts. A livelihood case study of Mikumi National Park, Tanzania",2012,1,1,0,Graphical non-robust
706,724,"Velazquez Gomar, J. O.; Stringer, L. C.",Moving Towards Sustainability? An Analysis of CITES' Conservation Policies,2011,1,1,0,Graphical non-robust
708,726,"Virapongse, A., Schmink, M., and Larkin, S.","Value Chain Dynamics of an Emerging Palm Fiber Handicraft Market in Maranhao, Brazil",2013,1,1,0,Graphical non-robust
718,736,"Wandersee, S. M.; An, L.; L_pez-Carr, D.; Yang, Y.","Perception and decisions in modeling coupled human and natural systems: A case study from Fanjingshan National Nature Reserve, China",2012,1,1,0,Graphical non-robust
738,756,"Zhang, H.; Lei, S. L.",A structural model of residents' intention to participate in ecotourism: The case of a wetland community,2012,1,1,0,Graphical non-robust
741,759,"Zulu, L.",Bringing people back into protected forests in developing countries: Insights from co-management in Malawi,2013,1,1,0,Graphical non-robust
747,801,"Adhikari, M., Nagata, S. and Adhikari, M.",Rural household and forest: an evaluation of household's dependency on community forest in Nepal.,2004,1,0,0,Non-graphical
1027,1090,Ameha et al,Impacts of access and benefit sharing on livelihoods and forest: case of participatory forest management in Ethiopia,2014,1,0,0,Non-graphical
22,22,"Baral, N.; Stern, M. J.",A comparative study of two community-based conservation models in Nepal,2011,1,0,0,Non-graphical
784,840,"Beitl, C.M.",Cockles in custody: The role of common property arrangements in the ecological sustainability of mangrove fisheries on the Ecuadorian coast,2011,1,0,0,Non-graphical
1032,1100,Bravo-Ureta et al.,The Economic Impact of Marena’és Investments on Sustainable Agricultural Systems in Honduras,2011,1,0,0,Non-graphical
793,849,"Brown, K.; Adger, W N.;, Boyd, E.;, Corbera-Elizalde, E.;and Shackley,S.",How do CDM projects contribute to sustainable development?,2004,1,0,0,Non-graphical
795,851,"Byaruhanga, M.B.",Conservation and Development: Bwindi Impenetrable National Park,2008,1,0,0,Non-graphical
71,72,"Castello, L.; Viana, J. P.; Watkins, G.; Pinedo-Vasquez, M.; Luzadis, V. A.","Lessons from integrating fishers of arapaima in small-scale fisheries management at the mamirau’é’_ reserve, amazon",2009,1,0,0,Non-graphical
76,78,"Chen, H. Y.; Zhu, T.; Krott, M.; Calvo, J. F.; Ganesh, S. P.; Makoto, I.",Measurement and evaluation of livelihood assets in sustainable forest commons governance,2013,1,0,0,Non-graphical
94,98,"D'Agnes, L.; D'Agnes, H.; Schwartz, J. B.; Amarillo, M. L.; Castro, J.",Integrated management of coastal resoures and human health yields added value: a comparative study in Palawan (Philippines),2010,1,0,0,Non-graphical
104,108,"Datta, D.; Chatterjee, D.",Assessment of community-based initiatives in sustainable management of Indian dry deciduous forests,2012,1,0,0,Non-graphical
815,872,"Dhakal, N.P.","Assessment of residents' social and economic wellbeing in conservation resettlement: A case study of Padampur, Chitwan National Park, Nepal",2011,1,0,0,Non-graphical
124,128,"Dolisca, F.; Carter, D. R.; McDaniel, J. M.; Shannon, D. A.; Jolly, C. M.",Factors influencing farmers' participation in forestry management programs: A case study from Haiti,2006,1,0,0,Non-graphical
125,129,"Dolisca, F.; McDaniel, J. M.; Teeter, L. D.",Farmers' perceptions towards forests: A case study from Haiti,2007,1,0,0,Non-graphical
134,138,"Dovie, D. B. K.",Rural economy and livelihoods from the non-timber forest products trade. Compromising sustainability in southern Africa?,2003,1,0,0,Non-graphical
142,147,"Elbakidze, M.; Angelstam, P.",Implementing sustainable forest management in Ukraine's Carpathian Mountains: The role of traditional village systems,2007,1,0,0,Non-graphical
151,157,"Ezebilo, E. E.",Local participation in forest and biodiversity conservation in a Nigerian rain forest,2011,1,0,0,Non-graphical
152,158,"Ezebilo, E. E.","Community forestry as perceived by local people around cross river national park, Nigeria",2012,1,0,0,Non-graphical
153,159,"Ezebilo, E. E.","Nature conservation in Cross River National Park, south-east Nigeria: Promoting collaboration between local people and conservation authorities",2013,1,0,0,Non-graphical
171,177,"Fu, Y.; Grumbine, R. E.; Wilkes, A.; Wang, Y.; Xu, J. C.; Yang, Y. P.",Climate change adaptation among tibetan pastoralists: Challenges in enhancing local adaptation through policy support,2012,1,0,0,Non-graphical
175,181,"Furman, R.",Lessons from implementing a theory of change M&E system in the livelihoods and landscapes strategy initiative (draft),2009,1,0,0,Non-graphical
830,889,"Greenheck, F.M.",Environmental Conservation and Sustainable Livelihoods: An Anthropological approach towards community-based custody and valuation of local resources in the context of marine turtle conservation in Costa Rica,2009,1,0,0,Non-graphical
209,220,"Groom, B.; Palmer, C.",REDD+ and rural livelihoods,2012,1,0,0,Non-graphical
213,224,"Grundy, I. M.; Campbell, B. M.; White, R. M.; Prabhu, R.; Jensen, S.; Ngamile, T. N.","Participatory forest management in conservation areas: The case of Cwebe, South Africa",2004,1,0,0,Non-graphical
228,239,"Ha, T. T. P.; van Dijk, H.; Bosma, R.; Sinh, L. X.","LIVELIHOOD CAPABILITIES AND PATHWAYS OF SHRIMP FARMERS IN THE MEKONG DELTA, VIETNAM",2013,1,0,0,Non-graphical
229,240,"Ha, T. T. P.; van Dijk, H.; Visser, L.","Impacts of changes in mangrove forest management practices on forest accessibility and livelihood: A case study in mangrove-shrimp farming system in Ca Mau Province, Mekong Delta, Vietnam",2014,1,0,0,Non-graphical
232,243,"Hack, J.","Payment schemes for hydrological ecosystem services as a political instrument for the sustainable management of natural resources and poverty reduction _ a case study from Belen, Nicaragua",2010,1,0,0,Non-graphical
235,246,"Hagos, F.; Holden, S.","Tenure security, resource poverty, public programs, and household plot-level conservation investments in the highlands of northern Ethiopia",2006,1,0,0,Non-graphical
238,249,"Halim, S. A.; Salleh, H.; Omar, M.","Engaging the local community in participatory resource management through learning: the experience from Langkawi Island, Malaysia",2011,1,0,0,Non-graphical
242,253,"Hara, M. M.",Efficacy of rights-based management of small pelagic fish within an ecosystems approach to fisheries in South Africa,2013,1,0,0,Non-graphical
247,258,"Hart, K. A.; Gray, T.; Stead, S. M.","Consumptive versus non-consumptive use of sea turtles? Stakeholder perceptions about sustainable use in three communities near Cahuita National Park, Costa Rica",2013,1,0,0,Non-graphical
254,265,"Hausser, Y.; Weber, H.; Meyer, B.","Bees, farmers, tourists and hunters: Conflict dynamics around Western Tanzania protected areas",2009,1,0,0,Non-graphical
255,266,"Hayati, D.; Abadi, B.; Movahedi, R.; Heidari, M.",An empirical model of factors affecting farmers' participation in natural resources conservational programs in Iran,2009,1,0,0,Non-graphical
262,273,"Hegde, R.; Enters, T.",Performance of an agro-forestry based Payments-for-Environmental-Services project in Mozambique: A household level analysis,2011,1,0,0,Non-graphical
307,318,"Idrissou, L.; Aarts, N.; Van Paassen, A.; Leeuwis, C.",The discursive construction of conflict in participatory forest management: The case of the Agoua forest restoration in Benin,2011,1,0,0,Non-graphical
312,323,"Illukpitiya, P.; Yanagida, J. F.",Role of income diversification in protecting natural forests: Evidence from rural households in forest margins of Sri Lanka,2008,1,0,0,Non-graphical
317,328,"Islam, K. K.; Rahman, G. M.; Fujiwara, T.; Sato, N.",People's participation in forest conservation and livelihoods improvement: Experience from a forestry project in Bangladesh,2013,1,0,0,Non-graphical
318,329,"Islam, K. K.; Sato, N.",Protected Sal Forest and Livelihoods of Ethnic Minorities: Experience From Bangladesh,2013,1,0,0,Non-graphical
319,330,"Islam, K. K.; Sato, N.",Participatory forestry in Bangladesh: Has it helped to increase the livelihoods of Sal forests-dependent people?,2012,1,0,0,Non-graphical
323,334,"Jackson, L.; van Noordwijk, M.; Bengtsson, J.; Foster, W.; Lipper, L.; Pulleman, M.; Said, M.; Snaddon, J.; Vodouhe, R.",Biodiversity and agricultural sustainagility: From assessment to adaptive management,2010,1,0,0,Non-graphical
324,335,"Jackson, M. M.; Naughton-Treves, L.","Eco-bursaries as incentives for conservation around Arabuko-Sokoke Forest, Kenya",2012,1,0,0,Non-graphical
331,343,"Johnson, C.; Forsyth, T.","In the eyes of the state: Negotiating a ""Rights-based approach"" to forest conservation in Thailand",2002,1,0,0,Non-graphical
342,355,"Kalame, F. B.; Aidoo, R.; Nkem, J.; Ajayie, O. C.; Kanninen, M.; Luukkanen, O.; Idinoba, M.",Modified taungya system in Ghana: A win-win practice for forestry and adaptation to climate change?,2011,1,0,0,Non-graphical
345,359,"Kaltenborn, B. P.; Nyahongo, J. W.; Kideghesho, J. R.","The attitudes of tourists towards the environmental, social and managerial attributes of Serengeti National Park, Tanzania",2011,1,0,0,Non-graphical
346,360,"Kamanga, P.; Vedeld, P.; Sjaastad, E.","Forest incomes and rural livelihoods in Chiradzulu District, Malawi",2009,1,0,0,Non-graphical
352,366,"Karanth, K. K.; Nepal, S. K.",Local residents perception of benefits and losses from protected areas in India and Nepal,2012,1,0,0,Non-graphical
355,369,"Karki, M.; Badoni, A.; Tiwari, B. K.; Bhattarai, N.",Creating livelihoods and enhancing biodiversity-rich production systems based on medicinal and aromatic plants: Preliminary lessons from South Asia,2005,1,0,0,Non-graphical
359,373,"Kashaigili, J. J.; Rajabu, K.; Masolwa, P.",Freshwater management and climate change adaptation: Experiences from the great Ruaha River catchment in Tanzania,2009,1,0,0,Non-graphical
360,374,"Kashwan, P.",The politics of rights-based approaches in conservation,2013,1,0,0,Non-graphical
364,378,"Kaushal, K. K.; Kala, J. C.",Applying the sustainable livelihood approach to Joint Forest Management projects in India,2004,1,0,0,Non-graphical
376,391,"Kibria, A. S. Md G.; Jashimuddin, M.; Makoto, I.","Effects of participatory forest management on livelihood capitals of the community in Cox's Bazar, Bangladesh",2013,1,0,0,Non-graphical
378,393,"Kijazi, M. H.; Kant, S.","Forest stakeholders' value preferences in Mount Kilimanjaro, Tanzania",2010,1,0,0,Non-graphical
384,399,"Kitamura, K.; Clapp, R. A.",Common property protected areas: Community control in forest conservation,2013,1,0,0,Non-graphical
842,905,"Kohlin, G. and Amacher, G. S.","Welfare implications of community forest, American, plantations in developing countries: the Orissa Social Forestry Project.",2005,1,0,0,Non-graphical
387,402,"Koli, A.",Community forest management addressing social vulnerability of forest communities in Bangladesh,2013,1,0,0,Non-graphical
395,410,"Kumar, R.; Horwitz, P.; Milton, G. R.; Sellamuttu, S. S.; Buckton, S. T.; Davidson, N. C.; Pattnaik, A. K.; Zavagli, M.; Baker, C.",Assessing wetland ecosystem services and poverty interlinkages: a general framework and case study,2011,1,0,0,Non-graphical
846,909,"Kusters, K., Achdiawan, R., Blecher, B., Ruiz perez, M..","Balancing development and conservation? An assessment of livelihood and environmental outcomes of non-timber forest product trade in Asia, Africa, and Latin America.",2006,1,0,0,Non-graphical
399,414,"Lai, P. H.; Nepal, S. K.","Local perspectives of ecotourism development in Tawushan Nature Reserve, Taiwan",2006,1,0,0,Non-graphical
402,417,"Lapeyre, R.",The grootberg lodge partnership in namibia:Towards poverty alleviation and empowerment for long-term sustainability,2011,1,0,0,Non-graphical
405,420,"Leach, H. B.; Van der Stege, C.; Vogl, C. R.",Baobab (Adansonia digitata L.) and Tamarind (Tamarindus indica L.) Management Strategies in the Midst of Conflict and Change: A Dogon Case Study from Mali,2011,1,0,0,Non-graphical
409,424,"Lescuyer, G.",Sustainable Forest Management at the Local Scale: A Comparative Analysis of Community Forests and Domestic Forests in Cameroon,2013,1,0,0,Non-graphical
411,426,"Lewis, D.; Bell, S. D.; Fay, J.; Bothi, K. L.; Gatere, L.; Kabila, M.; Mukamba, M.; Matokwani, E.; Mushimbalume, M.; Moraru, C. I.; Lehmann, J.; Lassoie, J.; Wolfe, D.; Lee, D. R.; Buck, L.; Travis, A. J.",Community Markets for Conservation (COMACO) links biodiversity conservation with sustainable improvements in livelihoods and food production,2011,1,0,0,Non-graphical
413,428,"Lian, G.; Guo, X. D.; Fu, B. J.; Wang, J.; He, T.","Farmer's perception and response towards land policy and eco-environment based on participatory rural appraisal: A case study in the Loess hilly area, China",2007,1,0,0,Non-graphical
414,429,"Lima, I. B.; d'Hauteserre, A. M.",Community capitals and ecotourism for enhancing Amazonian forest livelihoods,2011,1,0,0,Non-graphical
1037,1107,Liu et al.,Did the Key Priority Forestry Programs affect income inequality in rural China?,2014,1,0,0,Non-graphical
420,435,"Logan, B. I.; Moseley, W. G.",The political ecology of poverty alleviation in Zimbabwe's Communal Areas Management Programme for Indigenous Resources (CAMPFIRE),2002,1,0,0,Non-graphical
431,446,"Macura, B.; Zorondo-Rodr’éguez, F.; Grau-Satorras, M.; Demps, K.; Laval, M.; Garcia, C. A.; Reyes-Garc’éa, V.","Local community attitudes toward forests outside protected areas in India. Impact of legal awareness, trust, and participation",2011,1,0,0,Non-graphical
435,450,"Mahanty, S.; Suich, H.; Tacconi, L.",Access and benefits in payments for environmental services and implications for REDD+: Lessons from seven PES schemes,2013,1,0,0,Non-graphical
445,460,"Mannigel, E.",Integrating parks and people: How does participation work in protected area management?,2008,1,0,0,Non-graphical
1038,1108,Manza & Banta,"Impact of promoting sustainable agriculture project on livelihood sources in southern Borno state, Nigeria (PROSAB): a quantitative and qualitative analysis",2014,1,0,0,Non-graphical
447,462,"Mapedza, E.; Geheb, K.; van Koppen, B.; Chisaka, J.","Narratives from a wetland: Sustainable management in Lukanga, Zambia",2012,1,0,0,Non-graphical
448,463,"Marchant, C.; Borsdorf, A.",Protected areas in northern colombia-on track to sustainable development?,2013,1,0,0,Non-graphical
449,464,"Marcus, R. R.",Seeing the forest for the trees: Integrated conservation and development projects and local perceptions of conservations in Madagascar,2001,1,0,0,Non-graphical
454,469,"Marschke, M.; Sinclair, A. J.",Learning for sustainability: Partipatory resource management in Cambodian fishing villages,2009,1,0,0,Non-graphical
